 the_label | level | dimension | q_cusp_subgroup | q_cuspidal_subgroup 
-----------+-------+-----------+-----------------+---------------------
 J0(1)     |     1 |         0 |               1 |                   1
 J0(2)     |     2 |         0 |               1 |                   1
 J0(3)     |     3 |         0 |               1 |                   1
 J0(4)     |     4 |         0 |               1 |                   1
 J0(5)     |     5 |         0 |               1 |                   1
 J0(6)     |     6 |         0 |               1 |                   1
 J0(7)     |     7 |         0 |               1 |                   1
 J0(8)     |     8 |         0 |               1 |                   1
 J0(9)     |     9 |         0 |               1 |                   1
 J0(10)    |    10 |         0 |               1 |                   1
 J0(11)    |    11 |         1 |               5 |                   5
 J0(12)    |    12 |         0 |               1 |                   1
 J0(13)    |    13 |         0 |               1 |                   1
 J0(14)    |    14 |         1 |               6 |                   6
 J0(15)    |    15 |         1 |               8 |                   8
 J0(16)    |    16 |         0 |               1 |                   1
 J0(17)    |    17 |         1 |               4 |                   4
 J0(18)    |    18 |         0 |               1 |                   1
 J0(19)    |    19 |         1 |               3 |                   3
 J0(20)    |    20 |         1 |               6 |                   6
 J0(21)    |    21 |         1 |               8 |                   8
 J0(22)    |    22 |         2 |              25 |                  25
 J0(23)    |    23 |         2 |              11 |                  11
 J0(24)    |    24 |         1 |               8 |                   8
 J0(25)    |    25 |         0 |               1 |                   1
 J0(26)    |    26 |         2 |              21 |                  21
 J0(27)    |    27 |         1 |               3 |                   3
 J0(28)    |    28 |         2 |              36 |                  36
 J0(29)    |    29 |         2 |               7 |                   7
 J0(30)    |    30 |         3 |             192 |                 192
 J0(31)    |    31 |         2 |               5 |                   5
(31 rows)

