 label | level | dimension |                                                                      q_expansion                                                                       | lower_bound | upper_bound | order_of_torsion |        l1         | analytic_rank 
-------+-------+-----------+--------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+------------------+-------------------+---------------
 11a   |    11 | 1         | q - 2*q^2 - q^3 + 2*q^4 + q^5 + O(q^6)                                                                                                                 | 5           | 5           | 5                | 0.253841860855911 | 0
 14a   |    14 | 1         | q - q^2 - 2*q^3 + q^4 + O(q^6)                                                                                                                         | 6           | 6           | 6                | 0.330223659344481 | 0
 15a   |    15 | 1         | q - q^2 - q^3 - q^4 + q^5 + O(q^6)                                                                                                                     | 8           | 8           | 8                | 0.350150760583151 | 0
 17a   |    17 | 1         | q - q^2 - q^4 - 2*q^5 + O(q^6)                                                                                                                         | 4           | 4           | 4                | 0.386769938387780 | 0
 19a   |    19 | 1         | q - 2*q^3 - 2*q^4 + 3*q^5 + O(q^6)                                                                                                                     | 3           | 3           | 3                | 0.453253244496104 | 0
 20a   |    20 | 1         | q - 2*q^3 - q^5 + O(q^6)                                                                                                                               | 6           | 6           | 6                | 0.470729190326519 | 0
 21a   |    21 | 1         | q - q^2 + q^3 - q^4 - 2*q^5 + O(q^6)                                                                                                                   | 8           | 8           | 8                | 0.451115405388492 | 0
 23a   |    23 | 2         | q + a0*q^2 + (-2*a0 - 1)*q^3 + (-a0 - 1)*q^4 + 2*a0*q^5 + O(q^6)                                                                                       | 11          | 11          | 11               | 0.248431866590600 | 0
 24a   |    24 | 1         | q - q^3 - 2*q^5 + O(q^6)                                                                                                                               | 8           | 8           | 8                | 0.539128911874911 | 0
 26b   |    26 | 1         | q + q^2 - 3*q^3 + q^4 - q^5 + O(q^6)                                                                                                                   | 7           | 7           | 7                | 0.620965349549055 | 0
 26a   |    26 | 1         | q - q^2 + q^3 + q^4 - 3*q^5 + O(q^6)                                                                                                                   | 3           | 3           | 3                | 0.515576651277294 | 0
 27a   |    27 | 1         | q - 2*q^4 + O(q^6)                                                                                                                                     | 3           | 3           | 3                | 0.588879583428483 | 0
 29a   |    29 | 2         | q + a0*q^2 - a0*q^3 + (-2*a0 - 1)*q^4 - q^5 + O(q^6)                                                                                                   | 7           | 7           | 7                | 0.291521565699153 | 0
 30a   |    30 | 1         | q - q^2 + q^3 + q^4 - q^5 + O(q^6)                                                                                                                     | 6           | 6           | 6                | 0.558658043206916 | 0
 31a   |    31 | 2         | q + a0*q^2 - 2*a0*q^3 + (a0 - 1)*q^4 + q^5 + O(q^6)                                                                                                    | 5           | 5           | 5                | 0.449287723876040 | 0
 32a   |    32 | 1         | q - 2*q^5 + O(q^6)                                                                                                                                     | 4           | 4           | 4                | 0.655514388573030 | 0
 33a   |    33 | 1         | q + q^2 - q^3 - q^4 - 2*q^5 + O(q^6)                                                                                                                   | 4           | 4           | 4                | 0.747339147742744 | 0
 34a   |    34 | 1         | q + q^2 - 2*q^3 + q^4 + O(q^6)                                                                                                                         | 6           | 6           | 6                | 0.749277221052284 | 0
 35b   |    35 | 2         | q + a1*q^2 + (-a1 - 1)*q^3 + (-a1 + 2)*q^4 + q^5 + O(q^6)                                                                                              | 16          | 16          | 16               | 0.372746783763169 | 0
 35a   |    35 | 1         | q + q^3 - 2*q^4 - q^5 + O(q^6)                                                                                                                         | 3           | 3           | 3                | 0.702911239134905 | 0
 36a   |    36 | 1         | q + O(q^6)                                                                                                                                             | 6           | 6           | 6                | 0.701091052662727 | 0
 37b   |    37 | 1         | q + q^3 - 2*q^4 + O(q^6)                                                                                                                               | 3           | 3           | 3                | 0.725681061936153 | 0
 37a   |    37 | 1         | q - 2*q^2 - 3*q^3 + 2*q^4 - 2*q^5 + O(q^6)                                                                                                             | 1           | 1           | 1                | 0.000000000000000 | 1
 38b   |    38 | 1         | q + q^2 - q^3 + q^4 - 4*q^5 + O(q^6)                                                                                                                   | 5           | 5           | 5                | 0.819245633055104 | 0
 38a   |    38 | 1         | q - q^2 + q^3 + q^4 + O(q^6)                                                                                                                           | 3           | 3           | 3                | 0.630210743314100 | 0
 39b   |    39 | 2         | q + a1*q^2 + q^3 + (-2*a1 - 1)*q^4 + (-2*a1 - 2)*q^5 + O(q^6)                                                                                          | 28          | 28          | 28               | 0.382040468863840 | 0
 39a   |    39 | 1         | q + q^2 - q^3 - q^4 + 2*q^5 + O(q^6)                                                                                                                   | 4           | 4           | 4                | 0.826687850673386 | 0
 40a   |    40 | 1         | q + q^5 + O(q^6)                                                                                                                                       | 4           | 4           | 4                | 0.742206236711193 | 0
 41a   |    41 | 3         | q + a0*q^2 + (-1/2*a0^2 - a0 + 3/2)*q^3 + (a0^2 - 2)*q^4 + (-a0 - 1)*q^5 + O(q^6)                                                                      | 10          | 10          | 10               | 0.318126074609314 | 0
 42a   |    42 | 1         | q + q^2 - q^3 + q^4 - 2*q^5 + O(q^6)                                                                                                                   | 8           | 8           | 8                | 0.868861864374205 | 0
 43a   |    43 | 1         | q - 2*q^2 - 2*q^3 + 2*q^4 - 4*q^5 + O(q^6)                                                                                                             | 1           | 1           | 1                | 0.000000000000000 | 1
 43b   |    43 | 2         | q + a1*q^2 - a1*q^3 + (-a1 + 2)*q^5 + O(q^6)                                                                                                           | 7           | 14          | ?                | 0.571720756464112 | 0
 44a   |    44 | 1         | q + q^3 - 3*q^5 + O(q^6)                                                                                                                               | 3           | 3           | 3                | 0.804646287574652 | 0
 45a   |    45 | 1         | q + q^2 - q^4 - q^5 + O(q^6)                                                                                                                           | 2           | 2           | 2                | 0.921590876639632 | 0
 46a   |    46 | 1         | q - q^2 + q^4 + 4*q^5 + O(q^6)                                                                                                                         | 2           | 2           | 2                | 0.660904111323972 | 0
 47a   |    47 | 4         | q + a0*q^2 + (a0^3 - a0^2 - 6*a0 + 4)*q^3 + (a0^2 - 2)*q^4 + (-4*a0^3 + 2*a0^2 + 20*a0 - 10)*q^5 + O(q^6)                                              | 23          | 23          | 23               | 0.444393983723261 | 0
 48a   |    48 | 1         | q + q^3 - 2*q^5 + O(q^6)                                                                                                                               | 4           | 4           | 4                | 0.842875177406298 | 0
 49a   |    49 | 1         | q + q^2 - q^4 + O(q^6)                                                                                                                                 | 2           | 2           | 2                | 0.966655852808406 | 0
 50a   |    50 | 1         | q - q^2 + q^3 + q^4 + O(q^6)                                                                                                                           | 3           | 3           | 3                | 0.713164981428297 | 0
 50b   |    50 | 1         | q + q^2 - q^3 + q^4 + O(q^6)                                                                                                                           | 5           | 5           | 5                | 0.956811226587628 | 0
 51b   |    51 | 2         | q + a1*q^2 - q^3 + (-a1 + 2)*q^4 + (-a1 + 1)*q^5 + O(q^6)                                                                                              | 8           | 8           | 8                | 0.451107149889754 | 0
 51a   |    51 | 1         | q + q^3 - 2*q^4 + 3*q^5 + O(q^6)                                                                                                                       | 3           | 3           | 3                | 0.860059016127138 | 0
 52a   |    52 | 1         | q + 2*q^5 + O(q^6)                                                                                                                                     | 2           | 2           | 2                | 0.845483208645646 | 0
 53b   |    53 | 3         | q + a1*q^2 + (-a1^2 - a1 + 3)*q^3 + (a1^2 - 2)*q^4 + (a1^2 - 3)*q^5 + O(q^6)                                                                           | 13          | 13          | 13               | 0.514082200227861 | 0
 53a   |    53 | 1         | q - q^2 - 3*q^3 - q^4 + O(q^6)                                                                                                                         | 1           | 1           | 1                | 0.000000000000000 | 1
 54b   |    54 | 1         | q + q^2 + q^4 - 3*q^5 + O(q^6)                                                                                                                         | 3           | 3           | 3                | 1.03052184970100  | 0
 54a   |    54 | 1         | q - q^2 + q^4 + 3*q^5 + O(q^6)                                                                                                                         | 3           | 3           | 3                | 0.701574825324010 | 0
 55a   |    55 | 1         | q + q^2 - q^4 + q^5 + O(q^6)                                                                                                                           | 4           | 4           | 4                | 1.02866985617819  | 0
 55b   |    55 | 2         | q + a1*q^2 + (-2*a1 + 2)*q^3 + (2*a1 - 1)*q^4 - q^5 + O(q^6)                                                                                           | 4           | 4           | 4                | 1.06535607989494  | 0
 56a   |    56 | 1         | q + 2*q^5 + O(q^6)                                                                                                                                     | 4           | 4           | 4                | 0.874548314188336 | 0
 56b   |    56 | 1         | q + 2*q^3 - 4*q^5 + O(q^6)                                                                                                                             | 2           | 2           | 2                | 0.948019115613868 | 0
 57b   |    57 | 1         | q - 2*q^2 + q^3 + 2*q^4 + q^5 + O(q^6)                                                                                                                 | 5           | 5           | 5                | 0.586509591656568 | 0
 57c   |    57 | 1         | q + q^2 + q^3 - q^4 - 2*q^5 + O(q^6)                                                                                                                   | 4           | 4           | 4                | 1.08530227226767  | 0
 57a   |    57 | 1         | q - 2*q^2 - q^3 + 2*q^4 - 3*q^5 + O(q^6)                                                                                                               | 1           | 1           | 1                | 0.000000000000000 | 1
 58a   |    58 | 1         | q - q^2 - 3*q^3 + q^4 - 3*q^5 + O(q^6)                                                                                                                 | 1           | 1           | 1                | 0.000000000000000 | 1
 58b   |    58 | 1         | q + q^2 - q^3 + q^4 + q^5 + O(q^6)                                                                                                                     | 5           | 5           | 5                | 1.03320750936511  | 0
 59a   |    59 | 5         | q + a0*q^2 + (-1/4*a0^4 + 5/4*a0^2 - 1/2*a0)*q^3 + (a0^2 - 2)*q^4 + (3/4*a0^4 + 1/2*a0^3 - 23/4*a0^2 - 3*a0 + 7)*q^5 + O(q^6)                          | 29          | 29          | 29               | 0.358136132711037 | 0
 61a   |    61 | 1         | q - q^2 - 2*q^3 - q^4 - 3*q^5 + O(q^6)                                                                                                                 | 1           | 1           | 1                | 0.000000000000000 | 1
